service,latency_p50_ms,latency_p99_ms,error_rate_pct,throughput_rps,availability_pct
ingest,83.4,149.8,0.71,6486,99.6
api,76.0,386.8,0.816,5075,99.889
ingest,97.3,829.2,0.831,4751,99.124
api,51.5,829.4,0.674,2024,99.329
db,62.4,953.5,0.105,9781,99.031
reranker,35.8,1064.5,1.557,7985,99.52
retrieval,94.5,1981.3,0.288,4154,99.228
bm25,34.3,917.3,0.889,6148,99.094
api,73.0,1636.4,0.638,8061,99.643
cache,16.6,270.5,1.996,399,99.142
cache,6.4,1736.3,1.014,4565,99.721
cache,56.9,519.8,0.515,3381,99.103
llm,46.8,1968.4,1.477,5755,99.358
api,66.3,1147.3,1.396,2907,99.087
retrieval,85.5,614.3,1.108,7118,99.612
db,86.3,1831.1,1.638,7125,99.611
reranker,51.8,648.8,0.677,638,99.543
cache,85.7,1680.1,0.91,4096,99.359
reranker,5.1,1528.1,1.311,4547,99.377
api,66.2,1610.3,1.849,7349,99.827
api,7.0,144.1,0.576,8064,99.487
db,4.0,967.5,1.809,2900,99.547
retrieval,36.8,648.3,1.98,6489,99.87
ingest,31.2,640.6,0.219,775,99.167
db,70.1,1191.1,0.25,4600,99.994
db,58.4,821.4,0.57,6973,99.108
ingest,52.5,629.9,0.915,4604,99.706
llm,72.3,1411.7,1.592,826,99.444
cache,68.8,841.7,0.864,5657,99.354
embedding,64.9,1720.7,0.666,2664,99.55
cache,23.8,149.4,0.464,6285,99.12
ingest,96.1,1299.3,0.292,2906,99.025
api,18.4,1716.5,1.437,3272,99.438
retrieval,27.1,1479.2,1.754,5227,99.979
memory,24.8,198.8,1.114,1956,99.137
retrieval,35.9,68.2,0.44,904,99.703
llm,14.0,838.6,1.091,1659,99.979
api,35.2,17.0,0.382,1374,99.555
ingest,18.3,666.8,1.015,3020,99.587
memory,78.2,1346.4,1.904,4787,99.32
api,50.1,967.0,0.657,8357,99.487
cache,98.2,1603.7,1.333,6379,99.724
ingest,15.6,263.6,0.111,8188,99.327
db,43.1,1624.5,0.704,1291,99.328
memory,19.2,522.1,0.526,2087,99.529
db,58.1,176.2,1.572,3749,99.235
ingest,90.1,933.2,0.704,2992,99.162
api,96.6,104.6,0.893,898,99.092
bm25,18.8,1988.1,0.462,4204,99.016
retrieval,52.8,103.1,0.662,4122,99.504
cache,76.7,1799.4,1.853,4462,99.831
memory,11.0,718.0,0.079,7730,99.712
embedding,4.0,1255.2,0.385,3899,99.167
memory,20.2,1934.3,0.34,6380,99.396
reranker,27.3,214.2,0.301,4985,99.522
embedding,95.9,859.4,1.806,5292,99.957
ingest,55.1,1820.8,1.357,4853,99.788
cache,74.9,1815.5,1.169,5245,99.062
embedding,75.4,1104.5,0.796,6261,99.437
retrieval,86.1,1736.8,0.154,9604,99.008
embedding,39.0,379.4,1.422,2841,99.715
reranker,36.5,1427.7,0.675,7594,99.517
bm25,80.2,284.7,0.447,9089,99.114
retrieval,1.8,48.8,1.321,5345,99.518
embedding,81.8,1741.0,0.425,8361,99.991
retrieval,33.3,1503.0,0.043,1431,99.509
memory,8.8,1151.1,0.301,8941,99.014
bm25,22.0,119.7,0.029,4860,99.826
ingest,91.1,1503.9,1.498,5177,99.942
embedding,18.1,898.6,1.114,5056,99.798
embedding,49.7,1474.2,0.418,9701,99.249
llm,50.4,34.7,0.843,3585,99.485
db,22.4,1471.6,1.498,6683,99.008
api,87.9,918.6,0.643,1512,99.432
ingest,84.7,623.6,0.64,6143,99.987
cache,83.7,141.5,0.672,9537,99.874
embedding,67.9,223.1,0.069,2045,99.257
embedding,54.3,1908.1,1.893,6512,99.187
db,34.6,187.0,0.76,1061,99.388
api,68.6,307.3,0.766,8861,99.302
llm,61.1,1458.8,1.836,5940,99.02
api,17.6,280.9,0.097,6883,99.369
llm,87.8,581.2,0.271,7544,99.669
retrieval,42.3,674.2,0.173,4191,99.111
api,87.4,135.0,0.749,8840,99.297
llm,40.4,428.9,0.498,9976,99.989
llm,50.0,281.4,0.053,7968,99.704
retrieval,31.8,1597.7,1.835,2867,99.356
bm25,48.7,678.3,1.659,1445,99.346
reranker,26.6,1302.8,0.296,8871,99.063
memory,19.9,940.0,1.431,5059,99.489
embedding,84.8,91.4,0.78,44,99.088
db,31.4,221.8,1.161,9388,99.908
llm,43.8,1105.3,0.416,6388,99.92
ingest,27.7,516.1,1.81,5439,99.245
cache,56.7,845.9,1.228,7374,99.689
db,89.6,1377.0,0.033,6785,99.02
db,21.7,57.2,1.855,4198,99.999
bm25,44.3,542.9,0.419,4125,99.686
db,23.1,831.4,0.343,6028,99.965
