title,year,venue,topic,citation_count
GPT-3,2023,NAACL,classification,26007
REALM,2023,ACL,generation,40816
GPT-3,2022,EMNLP,embeddings,7381
Attention Is All You Need,2022,ACL,retrieval,17911
DPR,2018,ICLR,classification,46869
RoBERTa,2019,ICML,language_model,13006
BERT,2018,ICLR,classification,48807
GPT-3,2019,ICLR,generation,35162
REALM,2022,ICLR,retrieval,46239
LoRA,2022,ICML,embeddings,40456
Chinchilla,2024,NeurIPS,retrieval,28710
LLaMA,2021,CIKM,generation,6002
ANCE,2024,ACL,language_model,49655
Alpaca,2023,ICLR,retrieval,6502
RoBERTa,2018,NeurIPS,embeddings,34089
LLaMA,2017,ICLR,embeddings,16000
T5,2017,ICLR,classification,48776
Alpaca,2021,ACL,embeddings,25658
FLAN,2018,NeurIPS,retrieval,46311
Attention Is All You Need,2021,ICLR,retrieval,9680
PaLM,2018,NAACL,retrieval,7854
PaLM,2017,ACL,generation,21535
Attention Is All You Need,2023,ICLR,language_model,9201
Alpaca,2022,NeurIPS,embeddings,18936
PaLM,2022,SIGIR,generation,45559
InstructGPT,2021,NAACL,retrieval,29692
RoBERTa,2017,NAACL,language_model,5422
BERT,2018,ICML,generation,49316
Alpaca,2023,NAACL,language_model,23043
ANCE,2023,ACL,generation,41802
DPR,2024,ICML,language_model,17450
BERT,2019,ICML,embeddings,42474
REALM,2023,CIKM,retrieval,34766
LLaMA,2019,ICLR,retrieval,20450
InstructGPT,2018,EMNLP,classification,15368
PaLM,2024,ICML,embeddings,17982
T5,2020,ACL,embeddings,19015
RAG,2018,CIKM,classification,13730
GPT-3,2022,CIKM,retrieval,29474
Chinchilla,2021,EMNLP,classification,42375
PaLM,2022,ACL,classification,47977
FLAN,2020,NeurIPS,generation,42058
ColBERT,2020,ICLR,classification,48492
Chinchilla,2018,SIGIR,classification,45788
RAG,2022,CIKM,classification,34398
InstructGPT,2020,ICLR,generation,12465
Chinchilla,2019,ACL,retrieval,42637
ColBERT,2019,NAACL,embeddings,29374
InstructGPT,2018,ICML,retrieval,38761
GPT-3,2022,NAACL,generation,23037
LLaMA,2022,CIKM,embeddings,1266
LoRA,2020,SIGIR,language_model,29511
RoBERTa,2021,ICML,language_model,905
ColBERT,2021,ICLR,generation,18025
QLoRA,2017,NAACL,retrieval,36405
DPR,2022,ACL,generation,30161
PaLM,2018,SIGIR,retrieval,6266
T5,2017,EMNLP,generation,6069
GPT-3,2022,ICLR,generation,26568
T5,2021,NAACL,embeddings,47424
LLaMA,2017,ACL,generation,38230
GPT-3,2020,NAACL,generation,35163
BERT,2017,NAACL,classification,36881
GPT-3,2020,CIKM,retrieval,26605
FLAN,2020,ICML,generation,23780
LLaMA,2019,CIKM,embeddings,32309
PaLM,2019,CIKM,classification,28269
REALM,2018,EMNLP,language_model,27902
REALM,2022,ICLR,generation,35738
T5,2022,ICLR,embeddings,19329
GPT-3,2017,NAACL,embeddings,35537
InstructGPT,2017,ACL,embeddings,15973
GPT-3,2019,NeurIPS,generation,29363
LLaMA,2023,SIGIR,classification,7203
REALM,2023,NeurIPS,language_model,45776
ANCE,2019,ICML,generation,27688
Attention Is All You Need,2019,ICLR,language_model,41405
LLaMA,2022,NAACL,language_model,6362
RoBERTa,2024,CIKM,generation,10576
ColBERT,2019,EMNLP,generation,32788
Chinchilla,2018,ICLR,generation,20847
PaLM,2022,NAACL,embeddings,30422
RAG,2022,ICLR,retrieval,32800
LLaMA,2019,CIKM,retrieval,47124
InstructGPT,2022,CIKM,classification,43268
PaLM,2017,EMNLP,embeddings,49861
Attention Is All You Need,2019,NAACL,generation,40018
RoBERTa,2023,CIKM,language_model,49665
BERT,2023,CIKM,language_model,47478
QLoRA,2021,ICML,retrieval,42111
Chinchilla,2020,ICLR,generation,5250
REALM,2024,NeurIPS,classification,37554
GPT-3,2023,ICLR,retrieval,23835
BERT,2023,EMNLP,language_model,19689
LLaMA,2018,CIKM,embeddings,4510
LoRA,2024,ICLR,retrieval,48799
LLaMA,2023,ACL,retrieval,7047
GPT-3,2024,ICML,classification,29881
DPR,2024,SIGIR,embeddings,22393
BERT,2017,CIKM,classification,32771
